Date,Event,Description
08/09/2024,Pointscore 1,
15/09/2024,Pointscore 2,
22/09/2024,Championship 1,
29/09/2024,Pointscore 3 - multi-race day,
05/10/2024,Jervis Bay Regatta,
06/10/2024,Woollahra Plate race,
09/10/2024,Twilight 1,
13/10/2024,Championship 2,
16/10/2024,Twilight 2,
18/10/2024,Night Race - multihulls (CYC),
19/10/2024,ACT Multihull Championship (YMCASC),
20/10/2024,"LBG 60th celebration sail past, Pointscore 4 - multi-race day",
23/10/2024,Twilight 3 and CYC AGM,
26/10/2024,"ACT Opti Championship (CYC), no club racing",
30/10/2024,Twilight 4,
03/11/2024,Championship 3,
06/11/2024,Twilight 5,
09/11/2024,ACT Dinghy Championships (YMCASC),
10/11/2024,Pointscore 5 - trailables and multihulls, 1500 start
13/11/2024,Twilight 6,
17/11/2024,Championship 4,
20/11/2024,Twilight 7 - Spring Series 1,
23/11/2024,Port Kembla Regatta,
24/11/2024,Pointscore 6 - multi-race day,
27/11/2024,Twilight 8 - Spring Series 2,
29/11/2024,ACT City of Canberra Trailable Championship (CYC),
01/12/2024,Pointscore 7,
04/12/2024,Twilight 9 - Spring Series 3,
07/12/2024,Lake Jindabyne Regatta,
08/12/2024,Pointscore 8,
11/12/2024,Twilight 10 - Spring Series 4,
15/12/2024,Pointscore 9 (Championship resail date),
18/12/2024,Twilight 11,
22/12/2024,Sternchaser,
08/01/2025,Twilight 12,
12/01/2025,Pointscore 10,
15/01/2025,Twilight 13,
19/01/2025,Championship 5,
22/01/2025,Twilight 14 - SCCC 1,
26/01/2025,Chief Minister’s Regatta (CYC), 1530 start
29/01/2025,Twilight 15 - SCCC 2,
01/02/2025,Sussex Inlet Regatta,
02/02/2025,Championship 6,
05/02/2025,Twilight 16 - SCCC 3,
09/02/2025,CYC She Sails event,
12/02/2025,Twilight 17 - SCCC 4,
15/02/2025,Twofold Bay Regatta,
16/02/2025,Pointscore 11 - multi-race day,
19/02/2025,Twilight 18,
22/02/2025,ACT Teams Racing Championships (YMCASC),
23/02/2025,Championship 7,
26/02/2025,Twilight 19,
02/03/2025,Pointscore 12 - multi-race day,
05/03/2025,Twilight 20,
07/03/2025,MPONR Gippsland Lakes Vic,
08/03/2025,Wallagoot Lake Regatta,
12/03/2025,Twilight 21,
16/03/2025,Illawarra YC Lord Mayor’s Regatta,
16/03/2025,Pointscore 13,
23/03/2025,Pointscore 14 and America’s Mug Race,
30/03/2025,Matthew Owen Autumn Series Race 1,
06/04/2025,Matthew Owen Autumn Series Race 2,
13/04/2025,Matthew Owen Autumn Series Race 3,
26/04/2025,Batemans Bay Regatta,
03/05/2025,Presentation Dinner,
04/05/2025,Winter Series Race 1, 1pm start
18/05/2025,Winter Series Race 2, 1pm start
15/06/2025,Winter Series Race 3, 1pm start
29/06/2025,Winter Series Race 4, 1pm start
13/07/2025,Winter Series Race 5, 1pm start
27/07/2025,Winter Series Race 6, 1pm start
10/08/2025,Winter Series Race 7, 1pm start
15/11/2024,She Sails Fridays, 5.30 - 7.30pm
22/11/2024,She Sails Fridays, 5.30 - 7.30pm
29/11/2024,She Sails Fridays, 5.30 - 7.30pm
06/12/2024,She Sails Fridays, 5.30 - 7.30pm
21/02/2025,She Sails Fridays, 5.30 - 7.30pm
28/02/2025,She Sails Fridays, 5.30 - 7.30pm
14/03/2025,She Sails Fridays, 5.30 - 7.30pm
21/03/2025,She Sails Fridays, 5.30 - 7.30pm
